budget,revenue,popularity,runtime,vote_average,title,genres
57755036,107323371,60.37736018,98,6.611888118,Movie 1,"[{'id': 10749, 'name': 'Romance'}]"
192100010,342896533,86.28985702,96,7.184686969,Movie 2,"[{'id': 18, 'name': 'Drama'}]"
128521863,253206827,86.99532434,148,3.542977867,Movie 3,"[{'id': 35, 'name': 'Comedy'}]"
156299516,89635602,72.71009623,118,5.985175896,Movie 4,"[{'id': 18, 'name': 'Drama'}]"
148532820,221133868,74.82958453,161,4.57848018,Movie 5,"[{'id': 35, 'name': 'Comedy'}]"
134224038,270524761,56.23481707,150,7.346318136,Movie 6,"[{'id': 10749, 'name': 'Romance'}]"
36788921,73368473,58.88214093,160,4.137333051,Movie 7,"[{'id': 12, 'name': 'Adventure'}]"
134120466,332939335,14.23140756,118,8.353427493,Movie 8,"[{'id': 28, 'name': 'Action'}]"
161953558,346179511,44.94205965,115,5.585648019,Movie 9,"[{'id': 27, 'name': 'Horror'}]"
94410762,281375537,45.6268521,119,4.188018182,Movie 10,"[{'id': 27, 'name': 'Horror'}]"
92090292,111395762,95.89128573,124,5.628130778,Movie 11,"[{'id': 28, 'name': 'Action'}]"
166850211,233236168,43.6775994,83,5.452462577,Movie 12,"[{'id': 27, 'name': 'Horror'}]"
77737383,113466874,55.38492185,104,5.573513757,Movie 13,"[{'id': 27, 'name': 'Horror'}]"
89358551,148740169,53.79188853,148,6.513367761,Movie 14,[]
112190146,290571935,64.03940999,109,6.127042349,Movie 15,"[{'id': 12, 'name': 'Adventure'}]"
89409749,97410154,75.0750503,155,3.89866279,Movie 16,"[{'id': 18, 'name': 'Drama'}]"
140199233,342086201,23.27914574,147,3.393474436,Movie 17,"[{'id': 16, 'name': 'Animation'}]"
149171095,225736957,53.34371749,167,7.376492692,Movie 18,"[{'id': 28, 'name': 'Action'}]"
86652971,173707878,82.76585302,108,6.358304616,Movie 19,"[{'id': 10749, 'name': 'Romance'}]"
5521373,11491917,46.84835667,152,5.154004608,Movie 20,"[{'id': 35, 'name': 'Comedy'}]"
107683173,154215397,28.56729709,147,7.850146935,Movie 21,"[{'id': 27, 'name': 'Horror'}]"
4344769,7740371,65.81619846,130,5.328350846,Movie 22,[]
107328085,164488655,82.55297218,103,7.775790538,Movie 23,"[{'id': 53, 'name': 'Thriller'}]"
31349564,21092988,7.250889,93,4.834536765,Movie 24,"[{'id': 27, 'name': 'Horror'}]"
100052376,159374777,77.90225786,148,3.437071785,Movie 25,"[{'id': 35, 'name': 'Comedy'}]"
178077808,132397908,82.34314536,97,8.595838163,Movie 26,"[{'id': 878, 'name': 'Science Fiction'}]"
107406362,162457707,46.69076983,121,5.367306776,Movie 27,"[{'id': 18, 'name': 'Drama'}]"
107777086,213646086,98.34726003,136,7.756155437,Movie 28,"[{'id': 12, 'name': 'Adventure'}]"
63250665,123246276,78.88412573,162,4.674864799,Movie 29,"[{'id': 16, 'name': 'Animation'}]"
182009883,392513995,77.59259392,91,6.878190673,Movie 30,"[{'id': 878, 'name': 'Science Fiction'}]"
156716283,115680715,75.03601887,161,8.23986524,Movie 31,"[{'id': 53, 'name': 'Thriller'}]"
195438926,416345129,15.91020222,96,3.249864134,Movie 32,"[{'id': 12, 'name': 'Adventure'}]"
80757501,103399493,22.50585776,109,7.983814588,Movie 33,"[{'id': 16, 'name': 'Animation'}]"
121716221,182284021,46.93502301,167,6.42799803,Movie 34,"[{'id': 878, 'name': 'Science Fiction'}]"
152079598,402245310,27.13643065,154,6.644830523,Movie 35,[]
53286002,27845986,42.10885626,178,6.138948005,Movie 36,"[{'id': 16, 'name': 'Animation'}]"
33049003,65140628,88.95794688,102,8.24685062,Movie 37,"[{'id': 878, 'name': 'Science Fiction'}]"
62136438,124073104,82.6083623,160,3.260600143,Movie 38,"[{'id': 16, 'name': 'Animation'}]"
197412659,294470482,63.37394797,80,4.566170349,Movie 39,"[{'id': 16, 'name': 'Animation'}]"
129482111,141468223,85.95391903,158,8.254575233,Movie 40,"[{'id': 878, 'name': 'Science Fiction'}]"
126683192,137664736,78.59346651,111,7.514074215,Movie 41,"[{'id': 10749, 'name': 'Romance'}]"
194466162,526862150,43.46950825,88,3.105870961,Movie 42,"[{'id': 16, 'name': 'Animation'}]"
196524628,315434003,20.90545005,94,6.102037699,Movie 43,"[{'id': 28, 'name': 'Action'}]"
56831368,75427921,51.90590296,107,6.177436084,Movie 44,"[{'id': 28, 'name': 'Action'}]"
11959014,19396850,73.88665937,103,5.405292811,Movie 45,"[{'id': 27, 'name': 'Horror'}]"
57972561,126001970,44.20554027,139,4.784359992,Movie 46,"[{'id': 12, 'name': 'Adventure'}]"
49900483,43133549,67.01041907,114,7.090349102,Movie 47,"[{'id': 10749, 'name': 'Romance'}]"
21193880,34410056,10.3384152,165,4.246742788,Movie 48,"[{'id': 18, 'name': 'Drama'}]"
121826171,239962340,75.0524689,106,7.793691372,Movie 49,"[{'id': 10749, 'name': 'Romance'}]"
4385357,12592370,81.45864837,162,7.818222965,Movie 50,"[{'id': 16, 'name': 'Animation'}]"
45738553,51744914,70.97694772,155,5.491568625,Movie 51,"[{'id': 27, 'name': 'Horror'}]"
69574553,97274052,96.75909517,99,4.701288065,Movie 52,"[{'id': 10749, 'name': 'Romance'}]"
152063092,220247646,82.83855369,144,4.70326909,Movie 53,"[{'id': 12, 'name': 'Adventure'}]"
187375041,377344363,90.40627906,164,5.893747944,Movie 54,"[{'id': 27, 'name': 'Horror'}]"
12392366,17248068,93.42353726,128,7.317475348,Movie 55,[]
89883975,164827418,80.3334512,80,5.153212146,Movie 56,"[{'id': 53, 'name': 'Thriller'}]"
148697582,364974620,67.75162536,89,6.660260073,Movie 57,"[{'id': 28, 'name': 'Action'}]"
148405005,335909384,1.566139555,126,5.294906763,Movie 58,"[{'id': 27, 'name': 'Horror'}]"
69979792,113081858,47.11674957,138,4.827139135,Movie 59,"[{'id': 35, 'name': 'Comedy'}]"
38709731,102988804,57.54506756,175,3.149157095,Movie 60,"[{'id': 53, 'name': 'Thriller'}]"
162156967,307344308,31.09899697,141,3.023484634,Movie 61,"[{'id': 28, 'name': 'Action'}]"
24027075,44444432,32.49234024,165,4.363246067,Movie 62,"[{'id': 53, 'name': 'Thriller'}]"
87191493,51047952,96.15478216,97,5.438437721,Movie 63,"[{'id': 12, 'name': 'Adventure'}]"
88796277,263434796,89.27937566,125,8.107567004,Movie 64,"[{'id': 18, 'name': 'Drama'}]"
23335235,18841499,85.06872154,111,7.790905458,Movie 65,[]
135489564,146034348,41.19516837,106,4.602991576,Movie 66,[]
138802430,87340331,2.35615649,171,4.467242658,Movie 67,"[{'id': 35, 'name': 'Comedy'}]"
128924625,270742668,8.942002399,97,4.363932426,Movie 68,[]
108944665,115672318,31.90744045,118,5.035424043,Movie 69,"[{'id': 16, 'name': 'Animation'}]"
53631083,50950928,2.558548387,128,5.989192317,Movie 70,"[{'id': 16, 'name': 'Animation'}]"
9585377,6914785,2.69782841,172,5.632006632,Movie 71,"[{'id': 18, 'name': 'Drama'}]"
87544585,66382641,91.74372686,161,4.309639193,Movie 72,"[{'id': 10749, 'name': 'Romance'}]"
86157821,169013794,70.90969171,123,3.78270846,Movie 73,"[{'id': 16, 'name': 'Animation'}]"
153041741,339832195,31.58664302,151,3.075466875,Movie 74,"[{'id': 16, 'name': 'Animation'}]"
171819422,256603281,14.13181318,133,3.923779432,Movie 75,"[{'id': 27, 'name': 'Horror'}]"
61304654,104202138,51.65193607,174,7.232138221,Movie 76,"[{'id': 10749, 'name': 'Romance'}]"
112636935,249481725,1.529269925,113,4.461831416,Movie 77,"[{'id': 878, 'name': 'Science Fiction'}]"
35119117,19085465,93.90296064,150,5.811610861,Movie 78,"[{'id': 53, 'name': 'Thriller'}]"
37433622,48956688,42.06669682,115,6.547806894,Movie 79,"[{'id': 878, 'name': 'Science Fiction'}]"
90482491,265362016,40.83116057,97,8.321045417,Movie 80,"[{'id': 10749, 'name': 'Romance'}]"
195249720,380791736,39.66876715,117,8.33313059,Movie 81,"[{'id': 10749, 'name': 'Romance'}]"
102670589,116588762,7.863504708,138,7.474402402,Movie 82,"[{'id': 18, 'name': 'Drama'}]"
56105831,101233160,64.19390174,88,3.210941952,Movie 83,"[{'id': 18, 'name': 'Drama'}]"
138584340,188008188,73.56735834,152,6.450422515,Movie 84,"[{'id': 878, 'name': 'Science Fiction'}]"
59743503,109367201,67.93641436,151,7.719500825,Movie 85,"[{'id': 18, 'name': 'Drama'}]"
92693393,75485214,14.70511384,130,3.103728269,Movie 86,"[{'id': 16, 'name': 'Animation'}]"
171476398,142631775,58.30517664,114,6.298107682,Movie 87,"[{'id': 10749, 'name': 'Romance'}]"
70739572,60755099,57.37896393,161,8.146584875,Movie 88,"[{'id': 10749, 'name': 'Romance'}]"
105157975,299652852,86.97266801,84,5.844612455,Movie 89,"[{'id': 27, 'name': 'Horror'}]"
191066585,445614526,38.53363818,93,3.024637217,Movie 90,"[{'id': 18, 'name': 'Drama'}]"
120208152,108903144,37.77710842,171,3.06608015,Movie 91,"[{'id': 16, 'name': 'Animation'}]"
133862715,129963656,62.23417881,109,5.499816224,Movie 92,"[{'id': 16, 'name': 'Animation'}]"
192273147,447433781,63.6741927,83,3.930052005,Movie 93,"[{'id': 35, 'name': 'Comedy'}]"
184378299,164172209,47.45923751,118,6.986703943,Movie 94,"[{'id': 12, 'name': 'Adventure'}]"
112665644,122400319,44.86287687,163,7.252795589,Movie 95,"[{'id': 10749, 'name': 'Romance'}]"
69394024,201823295,49.92061939,143,4.067278773,Movie 96,"[{'id': 35, 'name': 'Comedy'}]"
199743196,227360951,86.24348465,104,8.331199731,Movie 97,"[{'id': 35, 'name': 'Comedy'}]"
173945196,374692020,46.65552322,107,5.65144707,Movie 98,[]
52757120,155452980,94.05324741,155,3.857075446,Movie 99,"[{'id': 878, 'name': 'Science Fiction'}]"
68157848,97857079,50.8963726,145,7.585509588,Movie 100,"[{'id': 16, 'name': 'Animation'}]"
96540567,52497792,94.97086862,157,7.739847,Movie 101,"[{'id': 10749, 'name': 'Romance'}]"
86390464,95925226,83.45035829,101,6.835772836,Movie 102,"[{'id': 28, 'name': 'Action'}]"
49170987,126723122,36.88070094,110,8.120793319,Movie 103,"[{'id': 53, 'name': 'Thriller'}]"
187780295,499781403,86.50050071,102,7.424237832,Movie 104,"[{'id': 10749, 'name': 'Romance'}]"
24717335,59848043,11.89626514,127,8.293234423,Movie 105,"[{'id': 878, 'name': 'Science Fiction'}]"
61472382,48119016,92.57967036,99,5.603328291,Movie 106,"[{'id': 35, 'name': 'Comedy'}]"
13719242,34144119,63.53270799,117,7.485582769,Movie 107,"[{'id': 12, 'name': 'Adventure'}]"
49715250,139038365,6.384684104,134,8.998509381,Movie 108,"[{'id': 27, 'name': 'Horror'}]"
84139152,168406519,64.78141564,147,7.349587185,Movie 109,"[{'id': 878, 'name': 'Science Fiction'}]"
103400391,294917394,97.45051776,158,3.685102681,Movie 110,[]
179271906,460208409,7.910264807,167,6.109912335,Movie 111,"[{'id': 27, 'name': 'Horror'}]"
173552610,376162923,55.91408327,168,6.524086747,Movie 112,"[{'id': 35, 'name': 'Comedy'}]"
92355424,179443180,75.03164063,80,4.04526405,Movie 113,"[{'id': 10749, 'name': 'Romance'}]"
187659194,257362230,81.21560008,86,8.777349805,Movie 114,"[{'id': 10749, 'name': 'Romance'}]"
50583876,45435378,41.96891907,136,4.053478666,Movie 115,"[{'id': 16, 'name': 'Animation'}]"
198421286,399299981,21.21248936,174,4.065347518,Movie 116,"[{'id': 878, 'name': 'Science Fiction'}]"
112999993,146366504,5.191885598,91,8.491002828,Movie 117,"[{'id': 16, 'name': 'Animation'}]"
172625499,460236267,58.39288955,84,5.791232599,Movie 118,"[{'id': 878, 'name': 'Science Fiction'}]"
162226952,483978535,45.83819596,129,3.379129676,Movie 119,"[{'id': 10749, 'name': 'Romance'}]"
52327755,124596016,94.92569512,121,6.589125,Movie 120,"[{'id': 878, 'name': 'Science Fiction'}]"
80018913,58110073,6.999885864,91,6.610958092,Movie 121,"[{'id': 10749, 'name': 'Romance'}]"
142347872,173908386,68.854139,97,3.387004552,Movie 122,[]
5545583,4285482,3.47165599,145,8.835134974,Movie 123,"[{'id': 18, 'name': 'Drama'}]"
189296765,402497758,17.97198349,153,6.264179792,Movie 124,"[{'id': 28, 'name': 'Action'}]"
55474455,133858592,45.90432099,158,6.358774333,Movie 125,"[{'id': 18, 'name': 'Drama'}]"
176760164,497436169,46.03237184,173,6.120692487,Movie 126,[]
181844642,290120554,68.88435375,96,6.664390678,Movie 127,"[{'id': 12, 'name': 'Adventure'}]"
124685547,343314063,91.11109045,147,4.585798517,Movie 128,"[{'id': 18, 'name': 'Drama'}]"
54933927,148031985,64.26418373,150,4.723448088,Movie 129,"[{'id': 10749, 'name': 'Romance'}]"
107179285,138581667,95.39997469,141,6.068034539,Movie 130,"[{'id': 27, 'name': 'Horror'}]"
53453338,142840766,88.27994835,120,7.840115129,Movie 131,"[{'id': 28, 'name': 'Action'}]"
150099456,216020229,58.86547976,174,3.299187459,Movie 132,"[{'id': 35, 'name': 'Comedy'}]"
35045666,43532786,83.54540314,113,6.620425273,Movie 133,"[{'id': 16, 'name': 'Animation'}]"
147939822,314029884,64.61518342,149,7.840668855,Movie 134,"[{'id': 878, 'name': 'Science Fiction'}]"
111573005,147382703,8.777225261,124,3.941503632,Movie 135,"[{'id': 28, 'name': 'Action'}]"
157396162,326679176,74.3159076,137,3.090135252,Movie 136,"[{'id': 35, 'name': 'Comedy'}]"
47321408,95805953,10.39593569,130,4.876279771,Movie 137,"[{'id': 35, 'name': 'Comedy'}]"
148014660,282500383,59.81419528,113,6.52886224,Movie 138,"[{'id': 28, 'name': 'Action'}]"
91053374,132122931,70.56138038,123,3.82969904,Movie 139,"[{'id': 18, 'name': 'Drama'}]"
27063245,50642078,7.586233213,94,5.556734226,Movie 140,[]
174660954,347787282,23.84867074,157,6.313928984,Movie 141,"[{'id': 53, 'name': 'Thriller'}]"
98636744,183880316,91.65155099,149,6.593298569,Movie 142,"[{'id': 35, 'name': 'Comedy'}]"
100483854,161884375,62.01513473,129,4.646470326,Movie 143,"[{'id': 12, 'name': 'Adventure'}]"
110174313,59126988,25.38231586,111,5.400177816,Movie 144,"[{'id': 12, 'name': 'Adventure'}]"
8887739,17487997,69.37729734,146,7.670035374,Movie 145,"[{'id': 16, 'name': 'Animation'}]"
195954700,180496022,60.08086558,82,8.647288165,Movie 146,"[{'id': 27, 'name': 'Horror'}]"
62071026,130748887,50.65599429,165,8.171281987,Movie 147,"[{'id': 10749, 'name': 'Romance'}]"
135987326,326146674,97.64251052,165,6.38570101,Movie 148,"[{'id': 35, 'name': 'Comedy'}]"
90178975,157913600,68.66192396,153,5.461756818,Movie 149,"[{'id': 53, 'name': 'Thriller'}]"
50007334,92809069,38.16866986,130,4.997739686,Movie 150,[]
163651376,471102626,80.20726978,146,3.749739397,Movie 151,"[{'id': 27, 'name': 'Horror'}]"
8971379,23486338,88.573746,155,3.639307483,Movie 152,"[{'id': 12, 'name': 'Adventure'}]"
4331068,12064585,13.39683539,172,7.130145749,Movie 153,"[{'id': 12, 'name': 'Adventure'}]"
